PID,DID,Conference,IsTopTier,Paper,Code Form,Domain,Analysis,Analysis Artifact,Artifact class,Transformation,Artifact form,Canonicalization,Canonicalization_Method,Split basis,Token Unit,Tokenization_Technique,Encoding,Encoding_NAs,Encoding examples,Embedding_Method,Embedding examples,Learning_Category,Learning_Subcategory,Learning_Trainable,for claude,Learning_Model,Learning_Model(Old),Inference_Category,Inference_Subcategory,Inference_Output,Evaluation_Metric
P019,D05,ISSTA,FALSE,jTrans: jump-aware transformer for binary code similarity detection,Assembly,Code similarity detection,Static > Disassembly,Assembly instruction sequences,Code representations,Code representation -> Sequence,Sequence,Element replacement,Assembly instruction element replacement,granularity-based,Instruction,Instruction-field-level,,Sparse,one-hot,Context-dependent,jTrans BERT with jump-aware positional embeddings,Discriminative,Detection,Yes,,jTrans / BERT-style Transformer,jTrans (BERT encoder with shared jump source/target embeddings) + MLM+JTP pretraining + contrastive cosine fine-tuning,Detection,Ranking / Top-K retrieval,Cosine/Euclidean similarity; ranked function list,MRR; Recall@1; Recall@10
P020,D05,ACSAC,FALSE,Practical Binary Code Similarity Detection with BERT-based Transferable Similarity Learning,Assembly,Code similarity detection,Static > Disassembly,Assembly instruction sequences,Code representations,Code representation -> Sequence,Sequence,Element replacement,Assembly instruction element replacement; Assembly instruction formatting,granularity-based,Instruction,Instruction-level,,Sparse,Instruction-level,Context-dependent,Siamese BERT,Discriminative,Detection,Yes,,BinShot / Siamese BERT + fully connected head,"BinShot Siamese BERT (MLM-only pretraining, no NSP) + weighted-distance FC layer (squared error) + Sigmoid + binary cross entropy loss",Detection,Ranking / Top-K retrieval,Cosine/Euclidean similarity; ranked function list,Accuracy; Precision; Recall; F1 score
P021,D05,TSE,FALSE,Learning Approximate Execution Semantics From Traces for Binary Function Similarity,"Fetched instruction, Assembly",Code similarity detection,Static > Disassembly | Dynamic > Dynamic trace analysis,Assembly instruction sequences | Forced-execution trace values,Code representations; Text streams,Code representations; Text streams -> Sequence,Sequence,Element replacement | Element replacement,Assembly instruction element replacement; Byte format replacement,granularity-based,Element; Byte,Instruction-field-level | Byte-level,,Sparse,"Token-ID encoding (vocab=3,300) | Per-byte one-hot (256-vocab) processed by bi-LSTM NAU",Context-dependent,TREX Hierarchical Transformer | bi-LSTM,Discriminative,Detection,Yes,,Transformer encoder + BiLSTM + MLP head,TREX (12-layer Transformer encoder + bi-LSTM NAU value embedder); MLM pretraining on code+value tokens + cosine fine-tuning with 2-layer MLP head,Detection,Ranking / Top-K retrieval,Cosine/Euclidean similarity; ranked function list,ROC; AUC; Precision@1; number of matched functions
P022,D05,ICSE,TRUE,Cross-Inlining Binary Function Similarity Detection,Assembly,Code similarity detection,Static > Disassembly; Static > Control-flow analysis,Assembly; CFG,Code representations; Graph representations,Code representations; Graph representation -> Graph,Graph,N/A,Granuaility-based | N/A,N/A,N/A,N/A,Dense,Dense,Node feature mapping,Context-dependent,GNN,Discriminative,Detection,Yes,GNN,GNN ensemble +  Euclidean similarity,CI-Detector: 3 GNN models (encoder + propagation + aggregator) trained separately for Leaf/Root/Internal inlining; margin-based pairwise loss on Euclidean distance; max-similarity aggregation at inference,Detection,Ranking / Top-K retrieval,Ranked function list across inlining patterns,Accuracy; Precision; Recall; F1-score; AUC
P023,D05,ICSE,TRUE,BinAug: Enhancing Binary Similarity Analysis with Low-Cost Input Repairing,Assembly,Code similarity detection,Static > Disassembly | Static > Intra-procedural control flow analysis,Assembly | CFG,Code representations | Graph representations,Code representation -> Sequence | Graph representation -> Graph,Sequence | Graph,Abstraction by replacement  | N/A,Granuaility-based | N/A,Syntactic units | N/A,instruction | N/A,N/A,Sparse | Dense,N/A | N/A,N/A | Node feature mapping,Context-dependent | Context-dependent,i2v | Structure2Vec,Discriminative,Detection,No,i2v -> Structure2Vec,Siamese(i2v -> Structure2Vec) + cosin similarity,BinAug re-ranking framework (LCS masking + Hungarian alignment + CFG transforms),Detection,Ranking / Top-K retrieval,Cosine/Euclidean similarity; ranked function list,Precision@K
P024,D05,USENIX Security,TRUE,Code is not Natural Language: Unlock the Power of Semantics-Oriented Graph Representation for Binary Code Similarity Detection,Pcode IR,Code similarity detection,Static > Disassembly; Static > IR lifting; Static > Control-flow analysis; Static > Data-flow analysis,Assembly; IR; CFG; def-use chains,Code representations; Code representations; Graph representations; Graph representations,Code representations; Code representations; Graph representations; Graph representations -> Graph,Graph,Structural transformation; node attribute mapping; edge attribute mapping,Graph node-attribute editing,N/A,N/A,Token-per-SOG-node (instruction / integer-literal / register-token sub-types per architecture),Sparse,N/A,Node attribute IDs; Edge attribute IDs,Context-dependent,Bidirectional GGNN,Discriminative,Detection,Yes,Bidirectional GGNN,(Bidirectional GGNN with GRU) + cosin similarity,HermesSim (bidirectional GGNN + multi-head softmax aggregator) in Siamese architecture; margin-based pairwise loss with distance-weighted negative sampling,Detection,Ranking / Top-K retrieval,Ranked function list with cosine similarity,Recall@1; MRR
P025,D05,ICSE,TRUE,BinaryAI: Binary Software Composition Analysis via Intelligent Binary Source Code Matching,"Source code, Decompiled code",Code similarity detection,Static > Disassembly; Static > Decompilation,Pseudocode,Code representations,Code representations -> Sequence,Sequence,N/A,N/A,Data-driven segmentation,Subword (Pretrained-LLM),Built-in llm tokenizer | Built-in llm tokenizer,Sparse,N/A,N/A,Context-dependent,Transformer-based ,LLM-based,LLM-based finetuning,Yes,Transformer-based,Transformer-based (Pythia) + cosine similarity,Pythia-410M + CLIP-style contrastive + MoCo + FAISS + locality-driven matching,Detection,Ranking / Top-K retrieval,Cosine/Euclidean similarity; ranked function list,MRR; Recall@K
P026,D05,USENIX Security,TRUE,Improving ML-based Binary Function Similarity Detection by Assessing and Deprioritizing Control Flow Graph Features,Assembly,Code similarity detection,Static > Disassembly; Static > Control-flow analysis,Assembly; CFG (=> data augmetation; manipulated CFG) ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Data augmentation,Semantics-preserving CFG augmentation,N/A,,N/A,delta-CFG (CFG manipulation) + LIME/LEMNA Explainer,Detection,Ranking / Top-K retrieval,Re-ranked function list with explanation weights,MRR; Recall@1; AUC; F1 score
P027,D05,NeurIPS,TRUE,Transforming Generic Coder LLMs to Effective Binary Code Embedding Models for Similarity Detection,Assembly,Code similarity detection,Static > Disassembly,Assembly,Code representations,Code representation -> Sequence,Sequence,Abstraction by replacement  ,Assembly instruction element replacement,Data-driven segmentation,Subword (Pretrained-LLM),Built-in llm tokenizer,Sparse,N/A,N/A,Context-dependent,LLM2Vec,LLM-based,LLM-based finetuning,Yes,LLM2Vec,Transformer-based with LLM2Vec + contrastive learning (cosine retriever),EBM: Qwen2.5-Coder-0.5B - 4-stage training (data augmentation + causal AR translation + LLM2Vec MNTP + cGTE contrastive),Detection,Ranking / Top-K retrieval,Cosine similarity; threshold-based pair decision,MRR; Recall@1; Accuracy
P028,D05,CCS,TRUE,Neural Network-based Graph Embedding for Cross-Platform Binary Code Similarity Detection,Assembly,Code similarity detection,Static > Disassembly; Static > Control-flow analysis; Triage > Binary profiling,Assembly; CFG; strings; constants,Code representations; Graph representations; String Literals; Binary facts -> Graph,Code representations; Graph representations; String Literals; Binary facts -> Graph,Graph,Node attribute mapping; Edge attribute mapping,Graph node-attribute editing,N/A,N/A,N/A,Dense,Dense,Node feature mapping,Context-dependent,Structure2vec,Discriminative,Detection,Yes,Structure2vec,Structure2vec with SiameseNN + cosine similarity,Gemini (Structure2Vec-style GNN encoder + Siamese),Detection,Ranking / Top-K retrieval,Cosine/Euclidean similarity; ranked function list,AUC; Precision@50; Top-K accuracy
P029,D05,DIMVA,FALSE,Safe: Self-attentive function embeddings for binary similarity,Assembly,Code similarity detection,Static > Disassembly,Assembly instruction sequences,Code representations,Code representation -> Sequence,Sequence,Element replacement,Assembly instruction element replacement,granularity-based,Instruction,Instruction-level,,Sparse,Instruction-level,Context-dependent,i2v (Word2Vec skip-gram) + Self-Attentive Network (Bidirectional RNN + multi-hop attention),Discriminative,Detection,Yes,,SAFE / BiRNN + self-attention,SAFE: i2v (word2vec) + bidirectional RNN + multi-hop Self-Attentive Network + Siamese with cosine similarity; squared-error loss with Frobenius regularizer on attention matrix,Detection,Ranking / Top-K retrieval,Cosine/Euclidean similarity; ranked function list,Precision@K; nDCG@K; Recall@K
P030,D05,ICML,TRUE,Graph matching networks for learning the similarity of graph structured objects,Assembly,Code similarity detection,Static > Disassembly; Static > Control-flow analysis,Assembly; CFG,Code representations; Graph representations,Code representations; Graph representations -> Graph,Graph,Node attribute mapping; Edge attribute mapping,Graph node-attribute editing,N/A,N/A,Instruction-type-level (operands discarded),Dense,N/A,Node feature mapping,Context-dependent,GNN,Discriminative,Detection,Yes,GNN,GNN + Hamming similarity,GNN embedding model + GMN matching model,Detection,Ranking / Top-K retrieval,Cosine/Euclidean similarity; ranked function list,Pair AUC; Triplet accuracy
P031,D05,NDSS,TRUE,Neural Machine Translation Inspired Binary Code Similarity Comparison beyond Function Pairs,Assembly,Code similarity detection,Static > Disassembly,Assembly,Code representations,Code representations-> Sequence,Sequence,Abstraction by replacement ,Assembly instruction element replacement,Syntactic units,Instruction,Instruction-level,Sparse,N/A,N/A,Context-dependent,word2vec,Discriminative,Detection,Yes,word2vec,(word2vec -> Siamese LSTM) + ICFG path LCS matching,INNEREYE: word2vec skip-gram i2v + Siamese LSTM with Manhattan-distance similarity trained with MSE loss,Detection,Ranking / Top-K retrieval,Cosine/Euclidean similarity; ranked function list,AUC; ROC
P032,D05,S&P,TRUE,Asm2Vec: Boosting Static Representation Robustness for Binary Clone Search against Code Obfuscation and Compiler Optimization,Assembly,Code similarity detection,Static > Disassembly; Static > Control-flow analysis; Static > Call-site analysis,Assembly; ICFG,Code representations; Graph representations,Code representation; Graph representation -> Sequence,Sequence,Abstraction by replacement ,Assembly instruction element replacement,Syntactic units,element,Instruction-field-level,Sparse,N/A,N/A,Context-independent,PV-DM ,Discriminative,Detection,Yes,PV-DM ,PV-DM + cosin similarity,Asm2Vec (PV-DM with negative sampling),Detection,Ranking / Top-K retrieval,Cosine/Euclidean similarity; ranked function list,Precision@1; Recall@K; Precision-Recall curve
P033,D24,CCS,TRUE,PalmTree: Learning an Assembly Language Model for Instruction Embedding,Assembly,Code representation learning,Static > Disassembly | Static > Data-dependence analysis,Assembly instruction sequences (control flow pairs) | Def-use instruction pairs,Code representations; Graph representations | Graph representations,Code representation; Graph representation -> Sequence,Sequence,Element replacement,Assembly instruction element replacement,rule-based,Sub-element,Delimiter/symbol-based | Delimiter/symbol-based,Sparse,N/A,N/A,Context-dependent,PalmTree BERT (MLM+CWP+DUP),Discriminative,Detection,Yes,,BERT-style Transformer,PalmTree (BERT with MLM+CWP+DUP pretraining),Detection,Similarity scoring,Instruction-level / function-level embedding,opcode outlier accuracy; operand outlier accuracy; basic-block search AUC
P034,D05,ISSTA,FALSE,Improving Cross-Platform Binary Analysis using Representation Learning via Graph Alignment,Assembly,Code similarity detection,Static > Disassembly; Static > Inter-procedural control flow analysis,Binary Disassembly Graph (BDG) with BB instruction sequences,Code representations; Graph representations,Code representations; Graph representations -> Graph,Graph,Assembly instruction element replacement,Assembly instruction element replacement,N/A,N/A,Instruction-field-level (mnemonic + operands as separate tokens after Table 4 normalization),,Sparse,Bag-of-words OR inherited basic-block embeddings (DeepBinDiff / InnerEye),Context-dependent,Multi-layer GCN (5 layers) Siamese,Discriminative,Detection,Yes,,Siamese GCN,XBA Siamese GCN (5 layers hidden 200),Detection,Ranking / Top-K retrieval,Cosine/Euclidean similarity; ranked function list,Hit@K; alignment accuracy
P035,D05,ICPC,FALSE,Exploring GNN Based Program Embedding Technologies for Binary Related Tasks,Assembly,Code similarity detection,Static > Control flow analysis | Static > Inter-procedural control flow analysis | Static > Data-dependence analysis,CFG with bb instruction sequences | Call Graph | DFG with node instruction sequences,Graph representations; Code representations | Graph representations | Graph representations,Graph representations; Code representations -> Graph | Graph representation -> Graph | Graph representation -> Graph,Graph | Graph | Graph,N/A,N/A,N/A | N/A | N/A,N/A | N/A | N/A,Instruction-field-level (BERT tokenizer over BB instruction tokens) | N/A | Instruction-field-level (BERT tokenizer over DFG-node instruction tokens),,Sparse | Dense | Sparse,"BERT token IDs (sparse, embedded to dense BB init) | Inherited procedure embedding (dense node init) | BERT token IDs (sparse, embedded to dense node init)",Context-dependent | Context-dependent | Context-dependent,BERT + GGNN | GGNN | BERT + GGNN,Discriminative,Detection,Yes,,BERT + GGNN + Siamese/softmax head,BERT (assembly pretrained) + GGNN_CFG (T=8) + GGNN_CG (T=4) + GGNN_DFG (T=8) -> concat -> Siamese (Euclidean) or softmax,Detection,Ranking / Top-K retrieval,Cosine/Euclidean similarity; ranked function list,Accuracy; Precision; Recall; F1
P036,D24,FSE journal,TRUE,CodeArt: Better Code Models by Attention Regularization When Symbols Are Lacking,Assembly,Code representation learning,Static > Disassembly | Static > Control dependence analysis; Static > Data dependence analysis,Assembly instruction sequences | Program dependence graph with node instruction sequences,Code representations; Graph representations | Graph representations,Code representations; Graph representations; Graph representations -> Sequence,Sequence,Element replacement,N/A | Graph edge transformation,rule-based,Sub-element,Delimiter/symbol-based with <INST> token | N/A,Sparse,N/A,N/A,Context-dependent,"CodeArt, RMA-augmented BERT trained with MLM + MDM",Discriminative,Detection,Yes,,BERT-style Transformer,CodeArt (RMA-augmented BERT 12 layers),Detection,Similarity scoring,Instruction-level embedding,Recall@1; Recall@3; Recall@5; Recall@10; MRR
